team_url,season,rank,url,name,salary
/teams/CHH/,1995-96,6,/players/c/curryde01.html,Dell Curry,"$1,570,000"
/teams/CHH/,1995-96,7,/players/g/geigema01.html,Matt Geiger,"$1,532,000"
/teams/CHH/,1995-96,8,/players/b/boguemu01.html,Muggsy Bogues,"$1,350,000"
/teams/CHH/,1995-96,9,/players/b/burresc01.html,Scott Burrell,"$1,040,000"
/teams/CHH/,1995-96,10,/players/z/zidekge01.html,George Zidek,"$603,000"
/teams/CHH/,1995-96,11,/players/a/addisra01.html,Rafael Addison,"$360,000"
/teams/CHH/,1995-96,12,/players/s/suttogr01.html,Greg Sutton,"$250,000"
/teams/CHH/,1995-96,13,/players/h/hancoda01.html,Darrin Hancock,"$225,000"
/teams/CHA/,2011-12,1,/players/m/maggeco01.html,Corey Maggette,"$10,262,069"
/teams/CHA/,2011-12,2,/players/d/diawbo01.html,Boris Diaw,"$9,000,000"
/teams/CHA/,2011-12,3,/players/t/thomaty01.html,Tyrus Thomas,"$7,305,765"
/teams/CHA/,2011-12,4,/players/d/diopde01.html,DeSagana Diop,"$6,925,400"
/teams/CHA/,2011-12,5,/players/c/carroma01.html,Matt Carroll,"$3,900,000"
/teams/CHA/,2011-12,6,/players/a/augusdj01.html,D.J. Augustin,"$3,236,470"
/teams/CHA/,2011-12,7,/players/b/biyombi01.html,Bismack Biyombo,"$2,798,040"
/teams/CHA/,2011-12,8,/players/n/najered01.html,Eduardo Najera,"$2,750,000"
/teams/CHA/,2011-12,9,/players/w/willire02.html,Reggie Williams,"$2,500,000"
/teams/CHA/,2011-12,10,/players/w/walkeke02.html,Kemba Walker,"$2,356,320"
/teams/CHA/,2011-12,11,/players/h/hendege02.html,Gerald Henderson,"$2,250,600"
/teams/CHA/,2011-12,12,/players/w/whitedj01.html,D.J. White,"$2,001,167"
/teams/CHA/,2011-12,13,/players/m/mulleby01.html,Byron Mullens,"$1,288,200"
/teams/CHA/,2011-12,14,/players/b/brownde04.html,Derrick Brown,"$854,389"
/teams/CHA/,2011-12,15,/players/h/higgico01.html,Cory Higgins,"$473,604"
/teams/CHH/,2000-01,1,/players/c/campbel01.html,Elden Campbell,"$8,050,000"
/teams/CHH/,2000-01,2,/players/c/colemde01.html,Derrick Coleman,"$8,000,000"
/teams/CHH/,2000-01,3,/players/m/mashbja01.html,Jamal Mashburn,"$6,200,000"
/teams/CHH/,2000-01,4,/players/b/brownpj01.html,P.J. Brown,"$5,740,000"
/teams/CHH/,2000-01,5,/players/p/phillbo01.html,Bobby Phills,"$4,640,000"
/teams/CHH/,2000-01,6,/players/d/davisba01.html,Baron Davis,"$2,916,000"
/teams/CHH/,2000-01,7,/players/w/wesleda01.html,David Wesley,"$2,880,000"
/teams/CHH/,2000-01,8,/players/t/thorpot01.html,Otis Thorpe,"$2,200,000"
/teams/CHH/,2000-01,9,/players/r/recasel01.html,Eldridge Recasner,"$1,200,000"
/teams/CHH/,2000-01,10,/players/h/hawkihe01.html,Hersey Hawkins,"$1,200,000"
/teams/CHH/,2000-01,11,/players/m/magloja01.html,Jamaal Magloire,"$975,000"
/teams/CHH/,2000-01,12,/players/j/jamesti01.html,Tim James,"$783,120"
/teams/CHH/,2000-01,13,/players/r/robined01.html,Eddie Robinson,"$600,000"
/teams/CHH/,2000-01,14,/players/b/buforro01.html,Rodney Buford,"$423,500"
/teams/CHH/,2000-01,15,/players/n/nailole01.html,Lee Nailon,"$316,969"
/teams/CHH/,2000-01,16,/players/r/roberte01.html,Terrance Roberson,"$316,969"
/teams/CHA/,2012-13,1,/players/g/gordobe01.html,Ben Gordon,"$12,400,000"
/teams/CHA/,2012-13,2,/players/t/thomaty01.html,Tyrus Thomas,"$8,000,000"
/teams/CHA/,2012-13,3,/players/d/diopde01.html,DeSagana Diop,"$7,372,200"
/teams/CHA/,2012-13,4,/players/s/sessira01.html,Ramon Sessions,"$5,000,000"
/teams/CHA/,2012-13,5,/players/k/kiddgmi01.html,Michael Kidd-Gilchrist,"$4,602,720"
/teams/CHA/,2012-13,6,/players/m/mcrobjo01.html,Josh McRoberts,"$3,135,000"
/teams/CHA/,2012-13,7,/players/h/hendege02.html,Gerald Henderson,"$3,101,327"
/teams/CHA/,2012-13,8,/players/b/biyombi01.html,Bismack Biyombo,"$3,007,920"
/teams/CHA/,2012-13,9,/players/w/willire02.html,Reggie Williams,"$2,612,500"
/teams/CHA/,2012-13,10,/players/w/walkeke02.html,Kemba Walker,"$2,532,960"
/teams/CHA/,2012-13,11,/players/m/mulleby01.html,Byron Mullens,"$2,253,306"
/teams/CHA/,2012-13,12,/players/h/haywobr01.html,Brendan Haywood,"$2,050,000"
/teams/CHA/,2012-13,13,/players/a/adrieje01.html,Jeff Adrien,"$804,131"
/teams/CHA/,2012-13,14,/players/t/tayloje03.html,Jeff Taylor,"$575,000"
/teams/CHA/,2012-13,15,/players/h/higgico01.html,Cory Higgins,"$44,835"
/teams/CHH/,2001-02,1,/players/c/campbel01.html,Elden Campbell,"$7,975,000"
/teams/CHH/,2001-02,2,/players/m/mashbja01.html,Jamal Mashburn,"$6,975,000"
/teams/CHH/,2001-02,3,/players/b/brownpj01.html,P.J. Brown,"$6,404,800"
/teams/CHH/,2001-02,4,/players/p/phillbo01.html,Bobby Phills,"$5,220,000"
/teams/CHH/,2001-02,5,/players/w/wesleda01.html,David Wesley,"$3,240,000"
/teams/CHH/,2001-02,6,/players/d/davisba01.html,Baron Davis,"$3,119,400"
/teams/CHH/,2001-02,7,/players/t/traylro01.html,Robert Traylor,"$2,793,505"
/teams/CHH/,2001-02,8,/players/a/augmost01.html,Stacey Augmon,"$2,400,000"
/teams/CHH/,2001-02,9,/players/l/lynchge01.html,George Lynch,"$2,400,000"
/teams/CHH/,2001-02,10,/players/m/moisoje01.html,Jerome Moiso,"$1,571,640"
/teams/CHH/,2001-02,11,/players/b/bullama01.html,Matt Bullard,"$1,300,000"
/teams/CHH/,2001-02,12,/players/d/drewbr01.html,Bryce Drew,"$1,300,000"
/teams/CHH/,2001-02,13,/players/r/recasel01.html,Eldridge Recasner,"$1,300,000"
